Country,ConcessionName,ConcessionContractor,ConcessionDescription,ConcessionSource,ConcessionSourceDate,Retrieved at
#country,#license,#license+participant+company,#license+description,#source,#sourceDate,#retrievedAt
Indonesia,P44c Tarakan-4,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Halmahera II,Statoil Indonesia Halmahera II AS,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Seinangka Senipah,PT Kutai Etam Petroleum,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Lirik,Indrillco South Lirik LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Mahakam Block,Total E&P Indonesie,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Mandala,PT Bumi Hast Mukti - Frontline Empire Group,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tanjung Aru,Krisenenergy Tanjung Aru B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Berau,BP Berau LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P8 Glagah Kambuna,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tarakan Block East Kalimantan,PT Medco E&P Indonesia,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Salawati,Mont D'Or Salawati LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Papua I,Chevron West Papua I LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P19 Lirik,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Blora,PT Sele Rava Energi,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South East Ganal I,Niko Resources South East Ganal I LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Bawean I,East Bawean LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Muriah,PC Muriah LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Sepinggan,ENI East Sepinggan LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P42a Tanjung Area-2,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Madura,SPE Petroleum LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Ranau,Prabu Energy PTY LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Offshore Timor Sea I,Hess Indonesia V LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North East Natuna,Titan Resources Natuna Indonesia LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North East Tanjung,PT Anugerah Trimata Kaltim Energi,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Salawati Kepala Burung Block,JOB Pertamina-Petrochina Salawati,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Bula,Black Gold East Bula LLC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P3 Arahan,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Sangata,PT Kalimantan Kutau Energy,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Tarakan,Manhattan Kalimantan Investment PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Menduwai,Challedon Services LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P16 Kluang,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,West Madura Offshore,PT Pertamina Hulu Energi West Madura Offshore,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Halmahera Kofiau,Niko Resources Halmahera Kofiau LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Natuna Sea Block B,ConocoPhillips Indonesia INC,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P29 Ramok,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Block A,Renco Enlang Energy PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P40 Suban,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Northern Papua,Sarmi Papua Asia Oil LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Jabung,Petrochina International Jaibung LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,East Kangean,Greenstar Assets LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,South Sageri,Talisman South Sageri B.V.,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Sfmai II,PT Suma Sarana,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Pendoro & Raja Block,JOB Pertamina-Golden Spike Energy Indonesia,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,North Madura,AWE North Madura NZ LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P1 AD Sabaku 1,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bukit Batu,PT Geo Bukit Batu,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Cakalang,Lundin Cakalang B.V,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,Bomoruk,Bukti Energy Bomoruk PTE LTD,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
Indonesia,P11d Jawa Bagian Timur Area-7,Pertamina EP,,http://product.patranusa.com/daval/,Jan-14,11/20/2014
